Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,4.9e+08,316.727,309.32,10.6448,0.275072
60000,4.9e+08,459.719,436.693,12.2273,0.37608
70000,4.9e+08,574.83,530.095,13.7078,0.450464
80000,4.9e+08,676.538,610.749,15.3,0.494928
90000,4.9e+08,777.516,687.395,16.8615,0.541528
100000,4.9e+08,875.902,752.665,18.2396,0.58356
110000,4.9e+08,973.667,807.509,19.7318,0.630592
120000,4.9e+08,1077.11,879.503,21.4475,0.656888
130000,4.9e+08,1156,934.355,22.8854,0.675768
140000,4.9e+08,1251.54,985.865,24.2385,0.706136
150000,4.9e+08,1330.34,1037.52,25.5904,0.728304
160000,4.9e+08,1430.19,1102.2,27.1255,0.754264
170000,4.9e+08,1510.59,1157.51,28.6724,0.775448
180000,4.9e+08,1603.07,1218.71,30.2128,0.793712
190000,4.9e+08,1711.32,1293.01,32.0124,0.823296
200000,4.9e+08,1782.72,1338.78,33.3046,0.843904
250000,4.9e+08,2234.9,1659.1,41.3457,0.930096
300000,4.9e+08,2598.93,1918.09,48.2314,0.980176
350000,4.9e+08,2983.51,2204.72,55.5868,1.03469
400000,4.9e+08,3367.93,2491.92,63.094,1.09702
450000,4.9e+08,3696.42,2745.25,69.8445,1.1215
500000,4.9e+08,4144.39,3086.99,78.6359,1.18033
600000,4.9e+08,4876.17,3653.18,93.3021,1.23222
700000,4.9e+08,5571.88,4180.39,107.096,1.28901
800000,4.9e+08,6411.51,4826.77,123.572,1.34278
900000,4.9e+08,6982.01,5266.21,135.332,1.35862
1e+06,4.9e+08,7675.38,5791.52,149.225,1.39534
1.5e+06,4.9e+08,11064.4,8388.45,217.184,1.50066
2e+06,4.9e+08,14963.9,11365.5,294.114,1.63014
2.5e+06,4.9e+08,18507.6,14067.5,365.053,1.69135
3e+06,4.9e+08,22366.8,17014.6,441.859,1.77047
3.5e+06,4.9e+08,26702.3,20323.9,528.138,1.8763
4e+06,4.9e+08,29967.3,22828.6,593.32,1.88135
