Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,1.8e+08,66.7403,62.4848,8.4394,0.06396
60000,1.8e+08,163.158,163.158,10.9057,0.13992
70000,1.8e+08,215.868,215.166,12.2428,0.175744
80000,1.8e+08,250.933,250.926,13.4842,0.192808
90000,1.8e+08,287.688,287.112,14.6693,0.210152
100000,1.8e+08,322.196,322.138,15.9831,0.223888
110000,1.8e+08,363.609,362.753,17.2575,0.242744
120000,1.8e+08,385.246,385.218,18.2773,0.246128
130000,1.8e+08,425.665,424.743,19.5695,0.262264
140000,1.8e+08,454.343,453.898,20.6171,0.2694
150000,1.8e+08,491.742,490.951,21.9898,0.281048
160000,1.8e+08,536.425,534.486,23.558,0.298896
170000,1.8e+08,553.777,552.27,24.3657,0.298152
180000,1.8e+08,579.855,579.126,25.4184,0.3012
190000,1.8e+08,609.644,609.147,26.6292,0.30776
200000,1.8e+08,636.62,635.895,27.7541,0.31228
250000,1.8e+08,812.88,810.8,34.2002,0.351008
300000,1.8e+08,975.136,972.544,40.5284,0.377232
350000,1.8e+08,1130.45,1127.05,46.8999,0.396336
400000,1.8e+08,1281.98,1275.54,53.0597,0.417408
450000,1.8e+08,1471.93,1458.47,60.2816,0.442992
500000,1.8e+08,1599.98,1582.86,65.7058,0.454408
600000,1.8e+08,1915.09,1890.83,79.0237,0.472848
700000,1.8e+08,2195.93,2159.14,90.3263,0.487896
800000,1.8e+08,2511.35,2460.57,103.172,0.506896
900000,1.8e+08,2837.94,2762.79,116.136,0.531752
1e+06,1.8e+08,3137.38,3048.41,128.791,0.543696
1.5e+06,1.8e+08,4604.21,4448.12,189.829,0.5872
2e+06,1.8e+08,6127.99,5898.23,253.59,0.629936
2.5e+06,1.8e+08,7719.47,7420.75,320.125,0.665024
3e+06,1.8e+08,9256.74,8889.57,384.422,0.691632
3.5e+06,1.8e+08,10802.6,10374.1,449.503,0.709784
4e+06,1.8e+08,12448,11959.1,518.939,0.731936
