Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,2.1e+08,87.071,84.2776,8.77854,0.081264
60000,2.1e+08,202.249,200.427,11.2788,0.174112
70000,2.1e+08,255.386,255.29,12.6954,0.204272
80000,2.1e+08,298.554,297.469,13.9035,0.22708
90000,2.1e+08,339.496,337.969,15.0627,0.247592
100000,2.1e+08,374.906,374.781,16.3273,0.2576
110000,2.1e+08,418.897,417.121,17.6469,0.280728
120000,2.1e+08,459.845,457.375,18.861,0.296384
130000,2.1e+08,493.26,491.583,20.0598,0.305784
140000,2.1e+08,546.939,545.394,21.7425,0.325448
150000,2.1e+08,574.564,573.21,22.6012,0.325528
160000,2.1e+08,623.258,620.708,24.2042,0.341808
170000,2.1e+08,644.3,643.269,25.0371,0.341176
180000,2.1e+08,682.287,680.731,26.3111,0.351128
190000,2.1e+08,726.898,725.343,27.8846,0.363184
200000,2.1e+08,767.009,763.458,29.3554,0.373616
250000,2.1e+08,946.977,940.604,35.6443,0.40384
300000,2.1e+08,1141.29,1127.37,42.1275,0.436048
350000,2.1e+08,1317.93,1291.58,48.3523,0.467544
400000,2.1e+08,1501.7,1469.8,54.9756,0.47864
450000,2.1e+08,1694.17,1649.58,61.8157,0.500776
500000,2.1e+08,1881.18,1818.9,68.4358,0.52076
600000,2.1e+08,2231,2141.74,81.3307,0.544624
700000,2.1e+08,2549.11,2438.73,93.3002,0.557208
800000,2.1e+08,2949.1,2797.36,107.198,0.593648
900000,2.1e+08,3321.64,3138.11,120.623,0.619464
1e+06,2.1e+08,3735.55,3526.4,135.752,0.64088
1.5e+06,2.1e+08,5311.76,4986.47,194.12,0.675264
2e+06,2.1e+08,7201.87,6751.21,264.414,0.736936
2.5e+06,2.1e+08,8827.43,8264.1,325.131,0.763168
3e+06,2.1e+08,10672,10003.3,393.867,0.789104
3.5e+06,2.1e+08,12420.6,11645.9,458.749,0.809464
4e+06,2.1e+08,14280.4,13389.3,527.968,0.836376
