Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,5.2e+08,333.786,322.893,10.7294,0.293976
60000,5.2e+08,510.609,472.176,12.4439,0.41672
70000,5.2e+08,621.87,559.819,13.878,0.479488
80000,5.2e+08,735.545,649.377,15.5738,0.536576
90000,5.2e+08,827.888,713.331,17.0298,0.576264
100000,5.2e+08,939.606,774.004,18.3606,0.624832
110000,5.2e+08,1051.01,844.737,20.0083,0.668744
120000,5.2e+08,1140.54,897.604,21.5101,0.69824
130000,5.2e+08,1223.16,948.873,22.8935,0.719824
140000,5.2e+08,1321.46,1010.96,24.3951,0.746952
150000,5.2e+08,1432.9,1086.07,26.1189,0.779928
160000,5.2e+08,1511.99,1134.39,27.4194,0.796152
170000,5.2e+08,1614.48,1200.18,29.1024,0.8274
180000,5.2e+08,1693.44,1254.9,30.464,0.841984
190000,5.2e+08,1779.58,1312.27,32,0.867184
200000,5.2e+08,1857.98,1362.69,33.3087,0.885296
250000,5.2e+08,2298.73,1667.42,40.8995,0.9644
300000,5.2e+08,2741.05,1987.98,48.9183,1.04851
350000,5.2e+08,3144.09,2288.46,56.5141,1.11996
400000,5.2e+08,3436.75,2510.89,62.4981,1.12701
450000,5.2e+08,3937.47,2886.46,71.7855,1.20577
500000,5.2e+08,4208.13,3092.42,77.4459,1.20972
600000,5.2e+08,4934.51,3638.34,91.1327,1.28242
700000,5.2e+08,5769.16,4267.09,106.978,1.34415
800000,5.2e+08,6459.22,4789.67,120.304,1.36849
900000,5.2e+08,7008.76,5200.26,131.134,1.3987
1e+06,5.2e+08,7886.11,5860.01,147.76,1.44062
1.5e+06,5.2e+08,11293,8416.77,213.417,1.54798
2e+06,5.2e+08,15382,11483,291.253,1.7023
2.5e+06,5.2e+08,19503.5,14576.6,370.134,1.81609
3e+06,5.2e+08,22994.4,17205.6,436.968,1.84623
3.5e+06,5.2e+08,26799.6,20065.3,510.084,1.89977
4e+06,5.2e+08,31559.2,23631.5,601.182,2.01481
