Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,2e+08,82.8958,77.9664,8.64071,0.080872
60000,2e+08,178.671,178.671,11.0322,0.152536
70000,2e+08,238.71,238.372,12.4847,0.191928
80000,2e+08,272.498,272.15,13.5942,0.208176
90000,2e+08,323.533,322.708,14.9606,0.234624
100000,2e+08,363.46,363.14,16.365,0.250984
110000,2e+08,390.399,389.438,17.2387,0.2584
120000,2e+08,434.266,433.1,18.6319,0.281488
130000,2e+08,464.216,462.22,19.8094,0.288408
140000,2e+08,516.545,515.277,21.3615,0.303832
150000,2e+08,545.845,544.994,22.4894,0.309864
160000,2e+08,585.843,583.806,23.7515,0.322184
170000,2e+08,612.098,609.972,24.7281,0.326968
180000,2e+08,656.931,655.136,26.2316,0.338576
190000,2e+08,697.144,695.197,27.6923,0.34876
200000,2e+08,727.872,725.821,28.8168,0.356472
250000,2e+08,909.377,907.602,35.3241,0.38836
300000,2e+08,1102.14,1093.39,42.0204,0.423304
350000,2e+08,1263.87,1245.33,48.0286,0.450888
400000,2e+08,1423.51,1397.22,53.8119,0.461696
450000,2e+08,1615.89,1584.14,61.021,0.480272
500000,2e+08,1774.17,1732.95,67.09,0.496136
600000,2e+08,2143.16,2074.76,80.8316,0.529224
700000,2e+08,2447.11,2356.86,92.5091,0.546344
800000,2e+08,2714.97,2603.44,102.839,0.54728
900000,2e+08,3075.09,2933.31,116.142,0.573536
1e+06,2e+08,3385.02,3226.05,127.975,0.583512
1.5e+06,2e+08,5059.39,4791.75,192.126,0.646752
2e+06,2e+08,6774.87,6409.48,258.26,0.691392
2.5e+06,2e+08,8463.64,8010.46,323.64,0.72072
3e+06,2e+08,10224,9670.89,391.53,0.755088
3.5e+06,2e+08,11818.7,11172.4,453.169,0.774776
4e+06,2e+08,13578.5,12823.2,522.062,0.800008
