Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,1.9e+08,82.0997,75.3376,8.59118,0.078248
60000,1.9e+08,172.966,171.611,10.968,0.151576
70000,1.9e+08,225.441,225.061,12.3333,0.182216
80000,1.9e+08,273.958,272.862,13.6867,0.212608
90000,1.9e+08,311.14,311.134,15.0161,0.225752
100000,1.9e+08,348.523,348.002,16.316,0.241176
110000,1.9e+08,385.546,384.703,17.4467,0.25596
120000,1.9e+08,422.427,420.694,18.864,0.275448
130000,1.9e+08,453.168,451.659,19.9098,0.277448
140000,1.9e+08,491.765,490.334,21.196,0.292152
150000,1.9e+08,533.761,533.281,22.7846,0.303128
160000,1.9e+08,563.411,562.555,23.8484,0.30968
170000,1.9e+08,592.093,590.385,24.8368,0.316008
180000,1.9e+08,627.867,625.286,26.2354,0.330184
190000,1.9e+08,680.05,677.07,27.9561,0.342184
200000,1.9e+08,695.173,692.653,28.6208,0.339296
250000,1.9e+08,881.358,877.453,35.4281,0.378512
300000,1.9e+08,1045.08,1038.19,41.4801,0.403008
350000,1.9e+08,1212.42,1202.43,47.9698,0.429688
400000,1.9e+08,1374.88,1359.75,54.125,0.447216
450000,1.9e+08,1538.87,1518.97,60.7258,0.46208
500000,1.9e+08,1719.81,1692.06,67.6169,0.47828
600000,1.9e+08,2010.89,1973.21,79.4115,0.492792
700000,1.9e+08,2346.99,2288.29,92.5029,0.51764
800000,1.9e+08,2675.33,2593.65,105.514,0.5448
900000,1.9e+08,3049.5,2944.52,119.822,0.566744
1e+06,1.9e+08,3287.76,3162.76,129.355,0.569656
1.5e+06,1.9e+08,4870.43,4653.26,192.383,0.627216
2e+06,1.9e+08,6416.78,6133.97,255.04,0.651728
2.5e+06,1.9e+08,7967.83,7606.69,317.278,0.680592
3e+06,1.9e+08,9821.58,9362.88,391.597,0.727744
3.5e+06,1.9e+08,11410.6,10884.3,455.511,0.746976
4e+06,1.9e+08,12971.3,12354,518.372,0.765448
