Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,5e+08,314.647,308.745,10.6147,0.2746
60000,5e+08,481.292,452.091,12.335,0.39368
70000,5e+08,577.2,526.78,13.6408,0.44656
80000,5e+08,695.403,622.314,15.3776,0.508752
90000,5e+08,787.45,689.601,16.8461,0.548224
100000,5e+08,888.832,743.571,18.0866,0.590616
110000,5e+08,971.505,802.524,19.4941,0.617408
120000,5e+08,1062.29,859.896,21.0361,0.650744
130000,5e+08,1188.33,937.322,22.8593,0.700176
140000,5e+08,1283.88,997.896,24.3427,0.724208
150000,5e+08,1366.18,1054.41,25.7513,0.743504
160000,5e+08,1431.11,1095.59,26.9513,0.756888
170000,5e+08,1551.51,1175.13,28.8311,0.79156
180000,5e+08,1620.72,1222.55,30.1484,0.804368
190000,5e+08,1714.88,1284.51,31.7021,0.827728
200000,5e+08,1813.74,1356.73,33.4666,0.853264
250000,5e+08,2173.45,1612.62,40.2338,0.905
300000,5e+08,2599.43,1910.03,47.8697,0.989232
350000,5e+08,2983.68,2193.13,55.0432,1.05089
400000,5e+08,3412.23,2515.61,63.3334,1.11238
450000,5e+08,3743.61,2768.59,69.9568,1.14282
500000,5e+08,4145.5,3074.76,77.8233,1.18098
600000,5e+08,4916.12,3664.99,92.8813,1.24762
700000,5e+08,5575.25,4166.4,105.968,1.28576
800000,5e+08,6405.25,4797.21,122.027,1.34898
900000,5e+08,7156.78,5366.33,136.864,1.40195
1e+06,5e+08,7434.45,5581.68,142.956,1.36413
1.5e+06,5e+08,10903.1,8219.49,211.127,1.51427
2e+06,5e+08,14694.2,11089.4,285.381,1.61533
2.5e+06,5e+08,18667.9,14111,363.158,1.72167
3e+06,5e+08,22989.3,17382.9,448.024,1.83205
3.5e+06,5e+08,26388.2,19979.9,515.128,1.84291
4e+06,5e+08,30472.6,23078.4,595.362,1.9295
