Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,2.2e+08,103.272,98.0358,8.93635,0.096144
60000,2.2e+08,207.258,205.599,11.2864,0.181184
70000,2.2e+08,269.509,268.805,12.8513,0.21528
80000,2.2e+08,307.882,307.227,13.9559,0.233672
90000,2.2e+08,355.938,355.77,15.3552,0.256048
100000,2.2e+08,401.056,399.875,16.6643,0.274808
110000,2.2e+08,439.853,439.154,17.8965,0.288616
120000,2.2e+08,479.846,478.818,19.1027,0.302304
130000,2.2e+08,534.105,532.632,20.6895,0.32308
140000,2.2e+08,551.483,547.654,21.3716,0.328624
150000,2.2e+08,597.456,595.615,22.7698,0.336712
160000,2.2e+08,648.743,645.375,24.3468,0.355904
170000,2.2e+08,689.398,686.555,25.5197,0.364208
180000,2.2e+08,738.208,735.373,27.2025,0.378112
190000,2.2e+08,775.668,771.244,28.5607,0.386288
200000,2.2e+08,805.876,800.49,29.481,0.390272
250000,2.2e+08,1009.16,995.248,36.1001,0.4336
300000,2.2e+08,1195.47,1173.05,42.3821,0.456416
350000,2.2e+08,1373.67,1342.83,48.9227,0.47408
400000,2.2e+08,1558.81,1512.41,55.0509,0.49596
450000,2.2e+08,1789.04,1720.33,62.8523,0.532552
500000,2.2e+08,1974.01,1890.41,69.3545,0.543208
600000,2.2e+08,2318.67,2200.55,81.5169,0.568624
700000,2.2e+08,2693.24,2542.16,94.6492,0.59132
800000,2.2e+08,3058.88,2867.01,107.13,0.616504
900000,2.2e+08,3440.13,3218.09,120.433,0.635896
1e+06,2.2e+08,3866.42,3609.44,135.325,0.66192
1.5e+06,2.2e+08,5622.88,5231.69,198.185,0.710928
2e+06,2.2e+08,7287.06,6754.86,258.441,0.748624
2.5e+06,2.2e+08,9323.16,8666.77,330.907,0.792768
3e+06,2.2e+08,11239.7,10429.4,399.297,0.833096
3.5e+06,2.2e+08,13155.1,12211,467.67,0.864088
4e+06,2.2e+08,14918.4,13865.7,531.821,0.87248
