Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,4.7e+08,299.145,293.741,10.5986,0.260552
60000,4.7e+08,461.199,443.332,12.3301,0.3776
70000,4.7e+08,561.565,526.405,13.7943,0.433472
80000,4.7e+08,640.193,587.977,15.1944,0.469608
90000,4.7e+08,758.12,678.642,16.9402,0.52788
100000,4.7e+08,840.176,736.722,18.1273,0.558672
110000,4.7e+08,934.843,800.158,19.7188,0.595624
120000,4.7e+08,1026.44,859.082,21.3266,0.627136
130000,4.7e+08,1130.24,926.288,22.9324,0.665208
140000,4.7e+08,1200.97,970.154,24.1872,0.682184
150000,4.7e+08,1288.64,1025.78,25.5796,0.702344
160000,4.7e+08,1375.26,1092.22,27.1492,0.724736
170000,4.7e+08,1444.61,1132.85,28.462,0.73656
180000,4.7e+08,1558.12,1207.59,30.2794,0.772336
190000,4.7e+08,1641.56,1263.99,31.7929,0.791848
200000,4.7e+08,1718.21,1313.32,33.1807,0.814096
250000,4.7e+08,2151.37,1624.37,41.0803,0.893704
300000,4.7e+08,2529.35,1897.79,48.3321,0.947336
350000,4.7e+08,2888.08,2155.14,55.2421,1.00064
400000,4.7e+08,3320.2,2483.53,63.725,1.06866
450000,4.7e+08,3701.89,2779.4,71.5999,1.10826
500000,4.7e+08,3976.43,2996.37,77.4966,1.11482
600000,4.7e+08,4749.4,3596.84,93.2614,1.18368
700000,4.7e+08,5359.37,4068.74,105.834,1.22044
800000,4.7e+08,6225.97,4736.03,123.145,1.29845
900000,4.7e+08,6781.23,5169.48,134.953,1.31021
1e+06,4.7e+08,7370.04,5627.49,147.206,1.31873
1.5e+06,4.7e+08,10748.2,8244.94,216.541,1.43666
2e+06,4.7e+08,13972.2,10733,282.734,1.50743
2.5e+06,4.7e+08,17852,13731.5,362.039,1.6245
3e+06,4.7e+08,21514.6,16565.7,436.634,1.69514
3.5e+06,4.7e+08,25039.4,19292.7,509.091,1.73836
4e+06,4.7e+08,28838.3,22225.9,586.896,1.80498
