Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,2.2e+08,103.272,98.0358,8.93635,0.096144
60000,2.2e+08,207.258,205.599,11.2864,0.181184
70000,2.2e+08,269.509,268.805,12.8513,0.21528
80000,2.2e+08,307.882,307.227,13.9559,0.233672
90000,2.2e+08,355.938,355.77,15.3552,0.256048
100000,2.2e+08,401.056,399.875,16.6643,0.274808
110000,2.2e+08,439.853,439.154,17.8965,0.288616
120000,2.2e+08,479.846,478.818,19.1027,0.302304
130000,2.2e+08,534.105,532.632,20.6895,0.32308
140000,2.2e+08,551.483,547.654,21.3716,0.328624
150000,2.2e+08,597.456,595.615,22.7698,0.336712
160000,2.2e+08,648.743,645.375,24.3468,0.355904
170000,2.2e+08,689.398,686.555,25.5197,0.364208
180000,2.2e+08,738.208,735.373,27.2025,0.378112
190000,2.2e+08,775.668,771.244,28.5607,0.386288
200000,2.2e+08,805.876,800.49,29.481,0.390272
250000,2.2e+08,1009.16,995.248,36.1001,0.4336
300000,2.2e+08,1195.47,1173.05,42.3821,0.456416
350000,2.2e+08,1373.67,1342.83,48.9227,0.47408
400000,2.2e+08,1558.81,1512.41,55.0509,0.49596
450000,2.2e+08,1789.04,1720.33,62.8523,0.532552
500000,2.2e+08,1974.01,1890.41,69.3545,0.543208
600000,2.2e+08,2318.67,2200.55,81.5169,0.568624
700000,2.2e+08,2693.24,2542.16,94.6492,0.59132
800000,2.2e+08,3058.88,2867.01,107.13,0.616504
900000,2.2e+08,3440.13,3218.09,120.433,0.635896
1e+06,2.2e+08,3866.42,3609.44,135.325,0.66192
1.5e+06,2.2e+08,5622.88,5231.69,198.185,0.710928
2e+06,2.2e+08,7287.06,6754.86,258.441,0.748624
2.5e+06,2.2e+08,9323.16,8666.77,330.907,0.792768
3e+06,2.2e+08,11239.7,10429.4,399.297,0.833096
3.5e+06,2.2e+08,13155.1,12211,467.67,0.864088
4e+06,2.2e+08,14918.4,13865.7,531.821,0.87248
50000,2.3e+08,105.053,99.5849,8.9292,0.098128
60000,2.3e+08,217.257,216.909,11.3301,0.184064
70000,2.3e+08,275.303,274.296,12.815,0.219752
80000,2.3e+08,323.749,323.495,14.1314,0.243944
90000,2.3e+08,378.745,378.07,15.5096,0.271536
100000,2.3e+08,414.276,413.096,16.6082,0.283592
110000,2.3e+08,456.131,455.084,17.9414,0.298632
120000,2.3e+08,493.059,490.621,19.0162,0.3152
130000,2.3e+08,545.424,543.945,20.4985,0.329792
140000,2.3e+08,577.185,575.961,21.7478,0.335408
150000,2.3e+08,652.674,650.013,23.5212,0.367536
160000,2.3e+08,664.103,660.513,24.2947,0.36752
170000,2.3e+08,722.326,719.502,25.8348,0.38068
180000,2.3e+08,747.995,744.32,26.8391,0.38284
190000,2.3e+08,809.081,801.799,28.6488,0.403232
200000,2.3e+08,829.688,820.281,29.6051,0.40672
250000,2.3e+08,1052.29,1031.77,36.4212,0.446368
300000,2.3e+08,1246.06,1214.16,42.8639,0.473696
350000,2.3e+08,1426.32,1376.68,49.029,0.493096
400000,2.3e+08,1641.83,1573.28,55.9735,0.522176
450000,2.3e+08,1793.83,1712.61,61.502,0.52748
500000,2.3e+08,2014.02,1912,68.8306,0.551192
600000,2.3e+08,2433.37,2284.89,82.7529,0.594664
700000,2.3e+08,2774.94,2592.43,94.3966,0.60808
800000,2.3e+08,3218.95,2992.27,109.118,0.643064
900000,2.3e+08,3574.39,3320.54,121.515,0.654192
1e+06,2.3e+08,3966.67,3666.94,134.588,0.676392
1.5e+06,2.3e+08,5875.31,5410.28,199.74,0.742992
2e+06,2.3e+08,7937.34,7304.18,271.171,0.801696
2.5e+06,2.3e+08,9724.04,8939.24,333.261,0.832496
3e+06,2.3e+08,11447.4,10539.2,392.96,0.842096
3.5e+06,2.3e+08,13633.5,12553.8,468.669,0.88968
4e+06,2.3e+08,15534.5,14297.3,534.855,0.917512
