Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,4.8e+08,307.886,300.021,10.6272,0.273808
60000,4.8e+08,462.806,441.739,12.3277,0.379232
70000,4.8e+08,564.629,520.809,13.6831,0.437248
80000,4.8e+08,667.758,603.172,15.2737,0.489864
90000,4.8e+08,765.125,678.831,16.8303,0.536688
100000,4.8e+08,830.976,720.423,17.866,0.552928
110000,4.8e+08,938.718,792.653,19.4943,0.59708
120000,4.8e+08,1033.28,852.968,21.1495,0.634064
130000,4.8e+08,1129.94,923.126,22.8,0.660784
140000,4.8e+08,1229.71,982.184,24.2789,0.699512
150000,4.8e+08,1300.4,1028.85,25.5307,0.708832
160000,4.8e+08,1395.3,1087.84,26.9926,0.736272
170000,4.8e+08,1471.25,1140.58,28.4602,0.749728
180000,4.8e+08,1564.32,1202.89,30.0532,0.77568
190000,4.8e+08,1665.08,1275.89,31.8539,0.799832
200000,4.8e+08,1723.23,1310.43,32.8992,0.806232
250000,4.8e+08,2150.73,1615.97,40.7201,0.898336
300000,4.8e+08,2566.81,1913.08,48.4014,0.96496
350000,4.8e+08,2955.97,2196.96,55.7808,1.02531
400000,4.8e+08,3322.13,2474.63,63.1292,1.07057
450000,4.8e+08,3667.19,2740.7,70.2403,1.09925
500000,4.8e+08,4061.31,3043.16,78.1379,1.14661
600000,4.8e+08,4774.37,3596.84,92.4675,1.19915
700000,4.8e+08,5358.32,4040.82,104.475,1.23426
800000,4.8e+08,6130.5,4639.93,119.955,1.28171
900000,4.8e+08,6688.52,5074.4,131.509,1.28931
1e+06,4.8e+08,7647.05,5805.52,150.505,1.36906
1.5e+06,4.8e+08,10869.6,8289.52,216.012,1.4655
2e+06,4.8e+08,14229.6,10867.8,283.663,1.56182
2.5e+06,4.8e+08,18042.8,13799.3,360.581,1.64837
3e+06,4.8e+08,22427.4,17169,448.762,1.76466
3.5e+06,4.8e+08,25393.8,19428,509.7,1.78187
4e+06,4.8e+08,29168.9,22354,585.66,1.81897
