Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,1.7e+08,65.7062,61.4024,8.41921,0.063024
60000,1.7e+08,150.733,148.595,10.6619,0.130304
70000,1.7e+08,199.039,198.794,12.0353,0.162232
80000,1.7e+08,239.048,237.649,13.2807,0.18604
90000,1.7e+08,272.046,271.58,14.5985,0.199752
100000,1.7e+08,310.745,310.148,15.9152,0.217256
110000,1.7e+08,342.802,342.567,17.0687,0.229416
120000,1.7e+08,374,373.757,18.3013,0.239464
130000,1.7e+08,405.152,403.4,19.4319,0.253368
140000,1.7e+08,439.664,437.477,20.7562,0.26348
150000,1.7e+08,468.141,467.053,21.827,0.269264
160000,1.7e+08,497.661,495.064,22.9663,0.281104
170000,1.7e+08,512.51,512.068,23.8616,0.275536
180000,1.7e+08,547.952,546.494,25.0374,0.287128
190000,1.7e+08,586.536,586.156,26.6335,0.29696
200000,1.7e+08,621.324,620.803,27.9836,0.305688
250000,1.7e+08,776.949,776.5,34.1855,0.33616
300000,1.7e+08,934.778,932.922,40.5071,0.362968
350000,1.7e+08,1071.3,1069.3,46.2955,0.378096
400000,1.7e+08,1197.59,1193.15,51.8117,0.394416
450000,1.7e+08,1379.63,1376.76,59.3787,0.41208
500000,1.7e+08,1511.13,1502.21,64.8624,0.428024
600000,1.7e+08,1808.12,1791.85,77.6582,0.448944
700000,1.7e+08,2046.4,2024.59,87.9893,0.459592
800000,1.7e+08,2385.38,2357.4,102.454,0.481544
900000,1.7e+08,2663.98,2625.28,114.424,0.495304
1e+06,1.7e+08,2934.88,2879.46,125.928,0.508576
1.5e+06,1.7e+08,4388.65,4273.24,189.108,0.56216
2e+06,1.7e+08,5802.27,5634.35,250.719,0.594168
2.5e+06,1.7e+08,7098.29,6876.17,307.503,0.615296
3e+06,1.7e+08,8487.35,8222.59,368.469,0.63284
3.5e+06,1.7e+08,10202,9883.14,443.38,0.668624
4e+06,1.7e+08,11306.7,10947.5,492.069,0.6682
