Voltage,101,201,301,401,502,602,702,802,902,1002,2002,3002,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19010,19910
Mean,28.85754395,53.09759521,81.50244141,114.6182251,136.9328613,166.0543213,197.1326904,223.6588135,254.9216919,282.322876,562.5548096,852.7251587,1135.344543,1419.348816,1707.713013,1991.86322,2276.828064,2560.124512,2846.492981,3133.311829,3421.158752,3708.509644,3998.443604,4280.565857,4569.432312,4863.329773,5156.223877,5444.650269,5707.420044
,2.158304802,6.298415751,2.553738775,2.420985045,5.36142022,0.973671126,5.859093634,6.213194612,0.855187127,6.337422089,2.73593243,3.695744954,5.039373264,2.853172009,6.922333254,0.940516175,6.071211389,2.199718983,2.655752476,7.209904634,3.521216194,1.417718142,5.204046246,6.095278055,1.319839713,1.413369759,1.512349346,2.620523641,2.717527777
,29,50,80,116,135,166,198,225,255,282,563,855,1135,1419,1705,1992,2278,2559,2846,3132,3425,3707,4000,4280,4571,4864,5156,5444,5706
,26,53,82,116,137,166,197,230,255,282,563,851,1136,1419,1706,1990,2274,2559,2848,3128,3421,3707,3996,4280,4570,4863,5154,5440,5710
,30,50,80,114,137,168,194,225,255,283,565,853,1136,1421,1705,1990,2281,2559,2848,3136,3419,3708,4000,4282,4569,4865,5156,5444,5706
,28,52,80,114,138,166,195,219,255,282,563,853,1136,1421,1707,1992,2274,2559,2842,3134,3423,3709,4000,4278,4569,4861,5152,5446,5708
,29,54,82,112,135,166,198,224,255,284,563,851,1136,1419,1706,1990,2281,2559,2846,3133,3424,3707,4000,4279,4569,4863,5154,5444,5708
,30,48,80,114,137,166,199,225,255,282,563,855,1134,1419,1707,1992,2276,2561,2845,3130,3422,3709,4002,4278,4569,4863,5158,5445,5706
,30,54,82,116,135,164,199,225,255,278,565,851,1134,1417,1711,1992,2272,2561,2846,3130,3421,3709,3998,4282,4569,4863,5158,5446,5706
